S,B,latency,memory,energy,is_validation
32,1,0.0010692960023880003,18763776,0.02853835132873313,False
32,2,0.000983696013689041,18874368,0.02779109684013829,False
32,4,0.0006532959938049317,19095552,0.02754650526670197,False
32,8,0.000609360009431839,19537920,0.035744881267749454,False
32,16,0.0010195040106773376,14843904,0.030131124415457552,False
32,32,0.0006338239908218384,15958016,0.038598416505991946,False
32,64,0.0008263840079307555,18186240,0.052814090929444106,False
32,95,0.0017534559965133667,47370240,0.12005463263093052,True
32,98,0.0018022720217704773,48417792,0.12183635636907325,True
32,128,0.0021616159677505494,59342848,0.14852690576523458,False
32,167,0.0028368959426879883,72546816,0.1948459645311242,True
32,256,0.004107599973678589,103669760,0.2784415513106949,False
48,1,0.0006191360056400298,14255616,0.02814531403954543,True
48,2,0.0006282080113887787,14043136,0.029968264270576642,True
48,4,0.0006276639997959137,14356480,0.037457581976082004,True
48,8,0.0007642239928245544,14983168,0.03660994179136598,True
48,16,0.000619711995124817,16236544,0.038205296503207906,True
48,32,0.0007372639775276185,18743296,0.04831736008410511,True
48,64,0.0012046239972114564,23822336,0.08012824918060202,True
48,95,0.002258831977844238,53182464,0.15384754376905968,True
48,98,0.0023075519800186154,54094848,0.1572845134956744,True
48,128,0.0029147520065307617,66551808,0.20220643780055725,True
48,167,0.003985839962959289,82222592,0.27147262579379416,True
48,256,0.005836127996444702,118087680,0.39990789954999495,True
64,1,0.0006394720077514649,23969792,0.03469148830219253,False
64,2,0.0007038399875164032,24117248,0.04205800598601218,False
64,4,0.0008686559796333313,24903680,0.04512771345860899,False
64,8,0.0006398879885673523,17793536,0.04182112136931505,False
64,16,0.0006284480094909668,19497472,0.043043314634618614,False
64,32,0.0009688479900360107,22642688,0.06336086450211818,False
64,64,0.0016294400095939634,32210944,0.10975938148680135,False
64,95,0.003884783983230591,60342272,0.2648877151992385,True
64,98,0.004086479902267456,61664256,0.27914070710217953,True
64,128,0.005088832139968872,76644352,0.34950508487279064,False
64,167,0.006771744012832642,95119872,0.4630642276087976,True
64,256,0.009771199703216552,138272768,0.6602684609767959,False
112,1,0.0006969920098781586,24273920,0.05107128961877547,True
112,2,0.0007498719990253449,24725504,0.04702334945093885,True
112,4,0.0006574560105800629,18698752,0.04146560300362291,True
112,8,0.0008218400180339813,20553728,0.05781352945361039,True
112,16,0.0013809279799461365,27377664,0.09163438260308533,True
112,32,0.0026292799711227417,41025536,0.17569218448138835,True
112,64,0.004991760015487671,68780032,0.33548040927519557,True
112,95,0.01147283172607422,158633984,0.7821191599911282,True
112,98,0.012420543670654297,175921152,0.8434865663192826,True
112,128,0.015099199771881103,205824000,1.0434533175465435,True
112,167,0.020758543968200684,273721344,1.4184211197275307,True
112,256,0.03146996784210205,396533760,2.1366176610234255,True
128,1,0.0007527839839458466,24412160,0.04644256044357857,False
128,2,0.0006571199893951416,17794048,0.06188144179043885,False
128,4,0.0006548639833927155,19497984,0.041570466718817846,False
128,8,0.001034559965133667,22642688,0.06909866423822224,False
128,16,0.0017338560223579408,32210944,0.11285734958191339,False
128,32,0.0032485599517822266,49381376,0.21990606263802076,False
128,64,0.006088255882263183,119316480,0.408543439072005,False
128,95,0.012623488426208496,171024384,0.8523786139517971,True
128,98,0.013612815856933594,189210624,0.9132290364346166,True
128,128,0.016702112197875978,223518720,1.1355079134022217,False
